1,#,state-#,1 = primary; 2 = (bkgd),Species only (deleted all recording info from column E),Species and Locations (redundant info; leave as is),Family Name,"Taxon group--full length from ""Web--Listen by species"" for LISTEN BY SPECIES web page",Taxon group--shortened for 2nd line of THIS RECORDING on 381 web pages,"Location--full length from file ""Web--Listen by state"" for LISTEN BY STATE",Location--shortened for first line of THIS RECORDING for 381 web pages,,Location--shortened for first line of THIS RECORDING for 381 web pages; EXPERIMENTAL; DO NOT USE THIS COLUMN
27,19,VA-19,1,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
28,20,VA-20,1,Field sparrow,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
30,21,VA-21,2,Summer tanager ,"Summer tanager (VA-21), VA-23, (IL-88), MO-122, IL-130",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
29,21,VA-21,1,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
32,22,VA-22,2,Gray catbird,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
31,22,VA-22,1,Common yellowthroat ,"Common yellowthroat VA-22, OR-295",Parulidae,Warblers,Warblers,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
33,23,VA-23,1,Summer tanager ,"Summer tanager (VA-21), VA-23, (IL-88), MO-122, IL-130",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
34,23,VA-23,2,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
35,24,VA-24,1,Blue-gray Gnatcatcher ,"Blue-gray Gnatcatcher VA-24, VA-25",Polioptilidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
37,25,VA-25,2,Mourning dove ,"Mourning dove (VA-25), VA-106, CO-326",Columbidae,"Doves, cuckoos","Doves, cuckoos","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
36,25,VA-25,1,Blue-gray Gnatcatcher ,"Blue-gray Gnatcatcher VA-24, VA-25",Polioptilidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
38,26,VA-26,1,Northern cardinal ,"Northern cardinal VA-26, (VA-37), VA-106, (IL-127), (IL-146)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
39,27,VA-27,1,Great crested flycatcher ,"Great crested flycatcher VA-27, (VA-37), KY-128, (VA-137), KS-173, (KS-175), (KS-177)",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
40,28,VA-28,1,Gray catbird ,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
41,29,VA-29,1,Northern mockingbird ,"Northern mockingbird (VA-7), VA-29, KY-105, KS-186",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
42,30,VA-30,1,Brown thrasher ,"Brown thrasher VA-30, (MO-163)",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
43,31,VA-31,1,Eastern phoebe ,"Eastern phoebe VA-31, MO-150",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
44,31,VA-31,2,Black-and-white warbler,"Black-and-white warbler (VA-31), VA-74, VA-78",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
45,32,VA-32,1,Prairie warbler,"Prairie warbler VA-32, VA-33",Parulidae,Warblers,Warblers,"Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
47,33,VA-33,2,Indigo bunting,"Indigo bunting (VA-33), VA-45, (IL-88), VA-95, VA-96, IL-97, (IL-127)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
46,33,VA-33,1,Prairie warbler ,"Prairie warbler VA-32, VA-33",Parulidae,Warblers,Warblers,"Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
48,34,VA-34,1,June Curry ,June Curry VA-34,People,People,People,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
49,35,VA-35,2,American woodcock ,American woodcock (VA-35),Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
50,35,VA-35,1,Eastern towhee,"Eastern towhee VA-9, VA-35, (VA-39)",Emberizidae,Sparrows,Sparrows,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
52,36,VA-36,2,Pileated woodpecker ,"Pileated woodpecker VA-16, (VA-36), VA-70, (KY-134), (ID-304)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
51,36,VA-36,1,Wood thrush ,"Wood thrush VA-2, VA-36",Turdidae,Thrushes,Thrushes,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
55,37,VA-37,2,Northern cardinal ,"Northern cardinal VA-26, (VA-37), VA-106, (IL-127), (IL-146)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
54,37,VA-37,2,Great crested flycatcher ,"Great crested flycatcher VA-27, (VA-37), KY-128, (VA-137), KS-173, (KS-175), (KS-177)",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
53,37,VA-37,1,Eastern whip-poor-will ,Eastern whip-poor-will VA-37,Caprimulgidae,Nightjars,Nightjars,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
56,38,VA-38,1,Scarlet tanager,"Scarlet tanager VA-38, (VA-53), KY-91, (KY-144)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
58,39,VA-39,2,Eastern towhee ,"Eastern towhee VA-9, VA-35, (VA-39)",Emberizidae,Sparrows,Sparrows,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
57,39,VA-39,1,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
59,40,VA-40,1,Chestnut-sided warbler ,"Chestnut-sided warbler VA-40, VA-41, VA-42, VA-43, (VA-56)",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
60,41,VA-41,1,Chestnut-sided warbler ,"Chestnut-sided warbler VA-40, VA-41, VA-42, VA-43, (VA-56)",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
61,42,VA-42,1,Chestnut-sided warbler ,"Chestnut-sided warbler VA-40, VA-41, VA-42, VA-43, (VA-56)",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
62,43,VA-43,1,Chestnut-sided warbler,"Chestnut-sided warbler VA-40, VA-41, VA-42, VA-43, (VA-56)",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
63,44,KY-44,1,Yellow-throated warbler,Yellow-throated warbler KY-44,Parulidae,Warblers,Warblers,"Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
65,45,VA-45,1,Indigo bunting,"Indigo bunting (VA-33), VA-45, (IL-88), VA-95, VA-96, IL-97, (IL-127)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
64,45,VA-45,1,Hooded warbler ,"Hooded warbler VA-45, VA-76, VA-80, KY-81",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
66,46,VA-46,1,Northern parula ,"Northern parula VA-46, KY-90, IL-131",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
67,47,VA-47,1,Black-throated blue warbler ,Black-throated blue warbler VA-47,Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
68,47,VA-47,2,Canada warbler,"Canada warbler (VA-47), VA-52, (VA-56)",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
69,48,VA-48,1,Ovenbird ,"Ovenbird VA-48, (VA-78), (KY-125)",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
70,49,VA-49,1,Billy Rays Smith ,Billy Rays Smith VA-49,People,People,People,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
72,50,VA-50,2,Northern flicker ,"Northern flicker (VA-50), (KY-121), KS-183, (OR-330)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
71,50,VA-50,1,Song sparrow ,"Song sparrow VA-50, (VA-56), (MT-288), OR-327, ID-351",Emberizidae,Sparrows,Sparrows,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
73,51,VA-51,1,Veery ,"Veery VA-51, MT-287, ID-323",Turdidae,Thrushes,Thrushes,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
74,52,VA-52,1,Canada warbler ,"Canada warbler (VA-47), VA-52, (VA-56)",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
76,53,VA-53,2,Scarlet tanager ,"Scarlet tanager VA-38, (VA-53), KY-91, (KY-144)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
75,53,VA-53,1,American robin,"American robin, VA-1, VA-53, WY-244, MT-285, (ID-298)",Turdidae,Thrushes,Thrushes,"Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
77,54,VA-54,1,Least flycatcher,"Least flycatcher VA-54, VA-55, MT-238",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
78,55,VA-55,1,Least flycatcher,"Least flycatcher VA-54, VA-55, MT-238",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
79,55,VA-55,2,Wild turkey,"Wild turkey (VA-55), (MO-148)",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
80,56,VA-56,1,Alder flycatcher,Alder flycatcher VA-56,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
84,56,VA-56,2,Song sparrow ,"Song sparrow VA-50, (VA-56), (MT-288), OR-327, ID-351",Emberizidae,Sparrows,Sparrows,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
83,56,VA-56,2,Canada warbler ,"Canada warbler (VA-47), VA-52, (VA-56)",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
82,56,VA-56,2,Chestnut-sided warbler ,"Chestnut-sided warbler VA-40, VA-41, VA-42, VA-43, (VA-56)",Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
81,56,VA-56,2,House wren,"House wren (VA-56), VA-141",Troglodytidae,Wrens,Wrens,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
85,57,VA-57,1,Winter wren ,Winter wren VA-57,Troglodytidae,Wrens,Wrens,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
87,58,VA-58,1,Black-capped chickadee ,"Black-capped chickadee VA-58, OR-182, MT-288, OR-359",Paridae,"Chickadees, titmouse","Chickadees, titmouse",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
86,58,VA-58,2,Blackburnian warbler,Blackburnian warbler (VA-58),Parulidae,Warblers,Warblers,Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
88,59,VA-59,1,Brown creeper ,"Brown creeper VA-59, (VA-60), OR-353",Certhiidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
